City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
178,Tororo,UG,0.693,34.1809,overcast clouds,66.83,83,100,5.21
179,Tevaitoa,PF,-16.7833,-151.5,moderate rain,80.4,77,100,21.81
180,Xichang,CN,27.8964,102.2634,overcast clouds,48.15,77,100,2.28
181,Iqaluit,CA,63.7506,-68.5145,light snow,6.53,71,75,8.01
182,Pangnirtung,CA,66.1451,-65.7125,broken clouds,12.2,85,75,14.97
183,Bluff,NZ,-46.6,168.3333,clear sky,60.8,77,1,1.16
184,Maragogi,BR,-9.0122,-35.2225,broken clouds,79.56,73,74,9.48
185,Tiznit,MA,29.5833,-9.5,clear sky,55.96,46,0,1.16
186,Acarau,BR,-2.8856,-40.12,broken clouds,81.46,79,77,17.02
187,Chissamba,AO,-12.1667,17.3333,overcast clouds,62.96,92,100,2.62
188,Lata,PT,40.1629,-8.3327,overcast clouds,52.81,92,100,7.45
189,Westport,US,41.1415,-73.3579,clear sky,49.05,52,1,3.0
190,Kuldur,RU,49.2167,131.6333,clear sky,-5.42,93,9,4.16
191,Antalaha,MG,-14.9003,50.2788,light rain,73.08,88,7,4.85
192,Vire,FR,48.9167,-0.8333,scattered clouds,42.19,93,37,5.3
193,Horsham,GB,51.064,-0.3272,broken clouds,43.02,85,75,12.66
194,Benguela,AO,-12.5763,13.4055,overcast clouds,77.49,80,90,4.5
195,Koshurnikovo,RU,54.1667,93.3,overcast clouds,2.7,97,97,3.24
196,Bredasdorp,ZA,-34.5322,20.0403,overcast clouds,59.29,65,99,7.31
197,Kieta,PG,-6.2167,155.6333,overcast clouds,82.53,76,100,2.35
198,Sao Filipe,CV,14.8961,-24.4956,overcast clouds,75.36,66,100,12.84
199,Richards Bay,ZA,-28.783,32.0377,few clouds,75.25,82,16,13.98
200,Sinnamary,GF,5.3833,-52.95,overcast clouds,78.57,89,100,11.77
201,Sept-Iles,CA,50.2001,-66.3821,snow,26.06,87,90,4.0
202,Puerto Escondido,MX,15.85,-97.0667,few clouds,86.83,58,20,5.75
203,Yulara,AU,-25.2406,130.9889,clear sky,69.64,37,0,4.61
204,Sorland,NO,67.667,12.6934,overcast clouds,28.47,60,98,23.94
205,Nome,US,64.5011,-165.4064,clear sky,-20.13,69,1,3.44
206,Barcelos,PT,41.5388,-8.6151,overcast clouds,51.94,89,100,7.11
207,Missoula,US,47.0166,-113.8009,broken clouds,56.55,57,71,14.92
208,Norman Wells,CA,65.282,-126.8329,light snow,-23.76,69,75,8.05
209,Sao Felix Do Xingu,BR,-6.6447,-51.995,overcast clouds,77.59,89,96,0.96
210,Mugur-Aksy,RU,50.35,90.5,clear sky,7.63,43,4,6.46
211,Tessalit,ML,20.1986,1.0114,scattered clouds,76.06,14,50,9.28
212,Otavi,NA,-19.65,17.3333,overcast clouds,73.44,51,99,13.6
213,Georgetown,MY,5.4112,100.3354,light rain,78.73,93,40,5.99
214,Hargeysa,SO,9.56,44.065,broken clouds,58.57,51,62,8.55
215,Kyabe,TD,9.4515,18.9449,broken clouds,81.79,21,76,4.88
216,Vostok,RU,46.4856,135.8833,overcast clouds,-3.41,97,100,6.73
217,Forecariah,GN,9.4306,-13.0881,clear sky,85.86,82,8,3.58
218,Caucaia,BR,-3.7361,-38.6531,scattered clouds,85.06,72,40,10.36
219,Calvinia,ZA,-31.4707,19.776,clear sky,56.84,59,10,6.11
220,Talnakh,RU,69.4865,88.3972,broken clouds,-23.3,99,58,5.39
221,Howard Springs,AU,-12.497,131.047,overcast clouds,84.11,95,97,4.34
222,Marzuq,YE,14.4,46.4667,clear sky,60.31,27,0,3.22
223,Pisco,PE,-13.7,-76.2167,clear sky,70.02,73,0,6.91
224,Morondava,MG,-20.2833,44.2833,overcast clouds,77.67,67,95,9.98
225,Zverinogolovskoye,RU,54.4586,64.8542,overcast clouds,36.88,76,100,18.79
226,Hamilton,US,39.1834,-84.5333,broken clouds,51.73,85,75,1.01
227,Langham,CA,52.3668,-106.9679,overcast clouds,42.03,75,100,17.58
228,Constitucion,CL,-35.3333,-72.4167,scattered clouds,60.75,65,38,15.61
229,Koszalin,PL,54.1944,16.1722,overcast clouds,45.68,83,95,22.73
230,North Bend,US,43.4065,-124.2243,haze,62.08,82,1,6.91
231,Kavieng,PG,-2.5744,150.7967,overcast clouds,82.63,71,97,7.65
232,Mahebourg,MU,-20.4081,57.7,few clouds,77.29,78,20,5.75
233,Makakilo City,US,21.3469,-158.0858,clear sky,82.72,62,1,12.66
234,Isangel,VU,-19.55,169.2667,broken clouds,80.71,83,75,0.0
235,Pokhara,NP,28.2333,83.9833,overcast clouds,61.12,51,100,3.06
236,Svetlyy,RU,54.675,20.1347,snow,32.05,99,100,17.65
237,Victoria,HK,22.2855,114.1577,broken clouds,61.25,48,67,11.99
238,Baculin,PH,7.4525,126.5842,overcast clouds,77.41,82,100,3.51
239,Waddan,LY,29.1614,16.139,few clouds,54.97,52,14,5.97
240,Ancud,CL,-41.8697,-73.8203,broken clouds,58.53,55,69,14.61
241,Burgersdorp,ZA,-30.9977,26.3286,scattered clouds,68.76,17,34,3.36
242,Keti Bandar,PK,24.1447,67.4497,clear sky,73.83,57,0,7.27
243,Nhulunbuy,AU,-12.2333,136.7667,overcast clouds,79.41,89,94,4.61
244,Nuuk,GL,64.1835,-51.7216,light rain,36.21,87,75,12.66
245,Urumqi,CN,43.801,87.6005,mist,7.75,85,1,2.24
246,Selma,US,36.5708,-119.6121,clear sky,84.04,54,0,3.15
247,Komsomolskiy,UZ,40.4272,71.7189,mist,38.12,60,0,3.62
248,Krutikha,RU,53.9599,81.2093,broken clouds,5.85,97,56,5.1
249,Paris,FR,48.8534,2.3488,scattered clouds,45.1,88,40,3.0
250,Katsuura,JP,35.1333,140.3,clear sky,48.31,46,1,14.41
251,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,overcast clouds,74.59,99,100,2.66
252,Honningsvag,NO,70.9821,25.9704,light shower snow,33.55,75,75,37.98
253,Tecoanapa,MX,16.5167,-98.75,scattered clouds,84.02,65,43,8.57
254,La Rioja,ES,42.25,-2.5,overcast clouds,40.48,85,92,11.95
255,Olafsvik,IS,64.8945,-23.7142,snow,30.63,87,100,18.07
256,Markova,UA,48.6758,24.4138,overcast clouds,40.42,74,92,11.7
257,Porto Novo,BJ,6.4965,2.6036,broken clouds,84.02,81,53,8.79
258,La Ronge,CA,55.1001,-105.2842,light snow,17.85,79,90,5.75
259,Moose Factory,CA,51.2585,-80.6094,overcast clouds,14.0,73,90,11.5
260,Sistranda,NO,63.7256,8.834,overcast clouds,28.36,52,100,24.61
261,Banamba,ML,13.55,-7.45,scattered clouds,78.31,15,33,7.7
262,Bundaberg,AU,-24.85,152.35,overcast clouds,76.21,97,90,5.01
263,Aklavik,CA,68.2191,-135.0107,overcast clouds,-20.2,76,90,10.36
264,Hovd,MN,48.0056,91.6419,clear sky,15.66,64,0,0.54
265,Turkmenabat,TM,39.0733,63.5786,dust,66.18,22,100,25.32
266,Sumbe,AO,-11.2061,13.8437,broken clouds,77.77,88,84,7.11
267,Severo-Kurilsk,RU,50.6789,156.125,moderate rain,44.91,92,100,35.19
268,Takaka,NZ,-40.85,172.8,overcast clouds,65.97,67,100,4.47
269,Raudeberg,NO,61.9875,5.1352,overcast clouds,31.87,95,99,20.58
270,Kutum,SD,14.2,24.6667,clear sky,67.24,24,0,13.22
271,Mount Isa,AU,-20.7333,139.5,clear sky,76.77,25,6,5.75
272,Ayagoz,KZ,47.9714,80.4392,clear sky,6.66,82,3,6.4
273,Faanui,PF,-16.4833,-151.75,moderate rain,80.11,78,100,19.17
274,Terrace,CA,54.5163,-128.6035,light intensity shower rain,40.91,93,90,17.27
275,Amapa,BR,1.0,-52.0,overcast clouds,75.09,97,100,3.6
276,Maumere,ID,-8.6199,122.2111,overcast clouds,80.8,79,100,1.97
277,Akyab,MM,20.15,92.9,few clouds,71.31,72,11,7.18
278,Zhezkazgan,KZ,47.8043,67.7144,overcast clouds,30.33,73,100,12.44
279,Camacupa,AO,-12.0167,17.4833,overcast clouds,62.15,93,100,2.93
280,Cayenne,GF,4.9333,-52.3333,few clouds,82.44,83,20,5.01
281,Toccoa,US,34.5773,-83.3324,clear sky,66.81,47,1,9.22
282,Hirado,JP,33.3597,129.5531,clear sky,44.1,50,5,8.28
283,Pringsewu,ID,-5.3582,104.9744,broken clouds,72.39,92,68,2.26
284,Ewa Beach,US,21.3156,-158.0072,clear sky,84.15,62,1,12.66
285,Hasaki,JP,35.7333,140.8333,clear sky,46.8,41,7,23.02
286,Bambous Virieux,MU,-20.3428,57.7575,few clouds,77.25,78,20,5.75
287,Pampas,PE,-12.4,-74.9,overcast clouds,58.23,72,100,7.23
288,Maine-Soroa,NE,13.2114,12.0241,few clouds,76.41,25,15,11.68
289,Chuy,UY,-33.6971,-53.4616,moderate rain,64.89,62,76,9.44
290,Bengkulu,ID,-3.8004,102.2655,light rain,74.21,89,34,5.44
291,Araouane,ML,18.9048,-3.5265,broken clouds,76.19,13,56,8.93
292,Salalah,OM,17.0151,54.0924,clear sky,77.09,31,0,6.91
293,Lagos,NG,6.5833,3.75,broken clouds,82.72,83,54,6.42
294,Progreso,MX,21.2833,-89.6667,clear sky,86.11,57,7,11.21
295,Xihe,CN,31.6864,113.4659,clear sky,39.83,36,2,0.29
296,Phangnga,TH,8.4509,98.5298,light rain,78.84,95,100,4.21
297,Pontianak,ID,-0.0333,109.3333,broken clouds,75.18,94,75,2.3
298,Dikson,RU,73.5069,80.5464,light snow,-5.93,96,100,16.6
299,Pundaguitan,PH,6.3711,126.1689,overcast clouds,82.08,77,100,6.73
300,Takoradi,GH,4.8845,-1.7554,overcast clouds,80.38,81,95,6.53
301,Arti,RU,56.4234,58.5328,overcast clouds,36.75,90,100,11.05
302,Muzhi,RU,65.3667,64.6667,overcast clouds,-0.94,97,100,8.79
303,Merrill,US,45.1805,-89.6835,overcast clouds,40.59,97,90,5.75
304,Ponta Delgada,PT,37.7333,-25.6667,few clouds,64.51,82,20,9.22
305,Ilulissat,GL,69.2167,-51.1,moderate rain,35.62,75,75,26.46
306,Mogadishu,SO,2.0371,45.3438,overcast clouds,81.36,73,99,14.34
307,Provideniya,RU,64.3833,-173.3,clear sky,-3.64,50,0,4.47
308,Serafimovich,RU,49.5786,42.736,overcast clouds,28.62,92,99,9.17
309,Pemangkat,ID,1.1667,108.9667,overcast clouds,77.81,86,96,5.12
310,Emerald,AU,-23.5333,148.1667,clear sky,81.99,67,0,6.91
311,Port Hardy,CA,50.6996,-127.4199,light rain,51.98,87,90,8.05
312,Harper,LR,4.375,-7.7169,broken clouds,80.02,80,56,6.71
