City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,Solnechnyy,50.7214,136.6319,8.92,94,100,5.57,RU,2021-11-29 19:37:17
236,Gainesville,29.6516,-82.3248,67.91,31,1,1.01,US,2021-11-29 19:36:48
237,Yulara,-25.2406,130.9889,64.24,45,0,5.75,AU,2021-11-29 19:37:17
238,Kendari,-3.945,122.4989,75.0,94,100,1.99,ID,2021-11-29 19:37:18
239,Aitape,-3.1374,142.3475,76.91,92,100,4.43,PG,2021-11-29 19:37:18
240,Marinette,45.1,-87.6307,34.25,60,90,9.22,US,2021-11-29 19:37:18
241,Faanui,-16.4833,-151.75,80.22,77,100,12.37,PF,2021-11-29 19:37:19
242,Aklavik,68.2191,-135.0107,-18.4,69,20,4.61,CA,2021-11-29 19:37:19
243,Pacific Grove,36.6177,-121.9166,76.41,54,1,1.01,US,2021-11-29 19:33:21
244,Portland,45.5234,-122.6762,59.45,93,90,3.0,US,2021-11-29 19:33:20
245,Anchorage,61.2181,-149.9003,6.94,82,90,5.99,US,2021-11-29 19:37:20
246,Sabang,5.8933,95.3214,76.84,83,100,0.72,ID,2021-11-29 19:37:20
247,Saskylakh,71.9167,114.0833,-23.53,100,93,4.16,RU,2021-11-29 19:37:21
248,Angoche,-16.2325,39.9086,76.33,73,0,5.17,MZ,2021-11-29 19:37:21
249,Grand Gaube,-20.0064,57.6608,75.38,69,0,3.0,MU,2021-11-29 19:37:21
250,Sabha,27.0377,14.4283,58.46,15,3,8.99,LY,2021-11-29 19:37:22
251,Beruwala,6.4788,79.9828,77.4,87,100,5.93,LK,2021-11-29 19:37:23
252,Jacksonville,30.3322,-81.6556,69.1,39,1,1.99,US,2021-11-29 19:34:13
253,Saint-Paul,-21.0096,55.2707,77.09,97,26,1.97,RE,2021-11-29 19:37:23
254,Mareeba,-17.0,145.4333,74.44,93,89,1.54,AU,2021-11-29 19:37:24
255,Taksimo,56.3444,114.8794,-5.39,94,99,1.25,RU,2021-11-29 19:37:25
256,Bykov,47.3167,142.55,27.39,94,92,1.03,RU,2021-11-29 19:37:26
257,Lamu,-2.2717,40.902,82.62,81,96,7.76,KE,2021-11-29 19:37:26
258,Lukovetskiy,64.2956,41.9211,-7.62,98,100,3.33,RU,2021-11-29 19:37:27
259,Guerrero Negro,27.9769,-114.0611,78.58,30,0,5.41,MX,2021-11-29 19:37:27
260,Asau,46.4333,26.4,41.92,82,27,5.79,RO,2021-11-29 19:37:28
261,Adrar,20.5022,-10.0711,66.0,23,48,10.51,MR,2021-11-29 19:37:28
262,Maceio,-9.6658,-35.7353,87.24,66,20,17.27,BR,2021-11-29 19:37:29
263,Benguela,-12.5763,13.4055,77.86,79,100,8.25,AO,2021-11-29 19:37:29
264,Mopipi,-21.1833,24.8833,82.92,36,99,5.59,BW,2021-11-29 19:37:30
265,Urdoma,61.7533,48.5442,5.25,96,100,5.86,RU,2021-11-29 19:37:30
266,Isangel,-19.55,169.2667,80.98,74,9,3.91,VU,2021-11-29 19:34:08
267,Luderitz,-26.6481,15.1594,62.11,87,0,11.81,NA,2021-11-29 19:37:31
